,phrases,count,clusters,total_count
0,hot water,20,71,50
1,strong brew,11,64,32
2,work great,11,72,23
3,great coffee,9,22,34
4,be great,8,42,39
5,great cup,7,7,27
6,love this machine,7,6,27
7,hot chocolate,6,73,16
8,great cup of coffee,6,13,32
9,hot coffee,6,70,22
10,long time,5,27,18
11,love this keurig,5,67,38
12,great deal,4,51,26
13,good coffee,4,85,20
14,more water,4,33,22
15,bad review,3,45,16
16,perfect cup,3,34,11
17,the hot water button,3,11,17
18,great product,3,20,28
19,be amazing,3,17,13
20,be very happy,3,29,16
21,absolutely love,3,61,17
22,highly recommend,3,12,18
23,good feature,3,21,22
24,very happy with this purchase,3,35,22
25,will love,3,26,8
26,hot cup,3,68,11
27,be really nice,3,84,19
28,so good,3,80,5
29,be awesome,3,16,14
30,work very well,3,77,12
31,do not like,2,75,19
32,like coffee,2,0,20
33,more size,2,95,11
34,a good cup,2,43,7
35,size available,2,44,12
36,perfect cup of coffee,2,58,16
37,only complaint,2,18,19
38,be helpful,2,37,10
39,good keurig,2,50,11
40,be so happy,2,36,10
41,same problem,2,82,23
42,nice machine,2,88,11
43,be very convenient,2,31,23
44,not as fancy,2,54,16
45,be no longer,2,94,15
46,reservoir be crack,2,9,20
47,very pleased,2,14,15
48,not have any issue,2,1,33
49,high setting,2,10,13
50,have purchase,2,92,13
51,nice addition,2,81,15
52,do not love,2,39,12
53,really like this one,2,62,14
54,really like,2,69,12
55,very nice,2,89,9
56,very pretty,2,83,7
57,the long time,2,46,17
58,brew hot,2,74,16
59,buy this machine,2,56,16
60,be cheap plastic,2,38,27
61,buy this coffee,2,93,19
62,love all,2,65,10
63,the more size,1,60,14
64,be misleading,1,40,13
65,have just buy,1,97,15
66,strong strength,1,15,11
67,so much quiet,1,25,12
68,will gladly say,1,30,5
69,like that one,1,23,30
70,a handy feature,1,24,17
71,past alarm time,1,63,17
72,honestly miss,1,55,12
73,setup be easy,1,79,16
74,be still work,1,28,17
75,awkward shape,1,8,13
76,high altitude,1,98,19
77,and good of all,1,3,9
78,not make a mess,1,91,7
79,fond of touch,1,19,10
80,be up high on,1,96,9
81,one be too weak,1,53,13
82,look great in,1,32,22
83,work good for,1,99,4
84,goofy display,1,90,11
85,delicious cup,1,5,13
86,fit just fine,1,76,11
87,proprietary k,1,86,12
88,buy as a gift,1,66,8
89,attractive one,1,4,14
90,m disappointed,1,47,13
91,iced or hot tea,1,78,25
92,love the button,1,57,16
93,top of the rim,1,41,12
94,be pretty cool,1,2,11
95,some bad apple,1,52,15
96,little disappointed in the iced feature,1,59,26
97,far cry,1,87,6
98,would buy,1,49,3
99,say enough about this,1,48,16
