,phrases,count,clusters,total_count
0,work great,37,73,73
1,do not work,28,13,84
2,great coffee,26,77,88
3,hot water,21,33,88
4,good coffee,17,22,59
5,hot chocolate,16,45,70
6,great cup,15,10,61
7,do not buy,15,85,65
8,be great,14,30,55
9,great cup of coffee,14,24,65
10,great product,13,63,73
11,good cup,11,15,54
12,make great coffee,11,87,48
13,do not like,10,28,60
14,love this machine,9,84,82
15,absolutely love,9,29,56
16,be very happy,8,51,32
17,would not recommend,8,66,66
18,love this keurig,7,69,58
19,recommend this product,7,9,97
20,be very happy with,7,81,54
21,excellent product,7,67,78
22,very nice,7,50,50
23,clean the needle,7,80,50
24,more water,7,76,48
25,fresh coffee,7,26,53
26,be no longer,7,83,63
27,very disappointed,7,96,58
28,buy this machine,7,39,48
29,strong setting,6,27,60
30,perfect cup,6,46,53
31,hot cocoa,6,62,31
32,very frustrating,6,6,38
33,good product,6,12,36
34,long time,6,99,56
35,good keurig,6,68,43
36,the good,6,16,48
37,be amazing,6,49,30
38,have a problem,6,86,53
39,work well,6,1,57
40,great machine,6,43,47
41,strong brew,5,41,53
42,really enjoy,5,11,62
43,have any issue,5,75,50
44,buy this one,5,38,66
45,same issue,5,21,40
46,screen stop work,5,35,39
47,buy another one,5,57,69
48,be good,5,94,53
49,problem with,5,59,55
50,fast shipping,4,65,35
51,user friendly,4,31,58
52,enough water,4,93,48
53,taste like plastic,4,61,40
54,have this problem,4,18,57
55,horrible,4,0,29
56,strong coffee,4,74,60
57,so easy to use,4,4,33
58,the same error,4,44,51
59,favorite coffee,4,56,32
60,would like,4,25,27
61,would work,4,3,30
62,hot cup,4,48,26
63,hot drink,3,82,41
64,with purchase,3,88,47
65,be easy to use and,3,47,61
66,will not buy,3,20,45
67,the high temperature,3,72,35
68,have waste,3,36,39
69,like coffee,3,97,31
70,very good,3,91,30
71,be so happy,3,58,29
72,be fantastic,3,23,50
73,love the convenience,3,17,35
74,big mistake,3,34,34
75,purchase another keurig,3,95,59
76,big disappointment,3,78,34
77,love the feature,3,98,52
78,be awful,3,60,33
79,great purchase,3,79,62
80,complete waste,3,5,62
81,be much good than,3,92,52
82,love and,3,37,23
83,work just fine,3,52,36
84,outstanding,2,70,37
85,the large water tank,2,71,54
86,absolutely hate,2,2,33
87,k475 work great,2,64,17
88,only issue,2,8,34
89,for strong,2,32,33
90,a solid cup,2,90,23
91,thing be amazing,2,14,30
92,plastic smell,2,89,28
93,never have any issue,2,7,43
94,can buy,2,55,16
95,for break room,1,54,13
96,work excellent,1,40,39
97,modern kitchen,1,19,54
98,be break,1,42,21
99,cup available,1,53,17
